YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1901,999.9,999.9,999.9,999.9,999.9,999.9,27.39,25.41,21.22,15.64,7.62,4.66,999.9,999.9,25.75,14.83,999.9
1902,1.93,0.68,9.78,12.34,19.35,22.96,24.28,999.9,19.45,16.6,12.47,5.02,2.42,13.82,23.75,16.17,14.04
1903,4.21,5.95,12.12,13.8,19.05,20.62,26.47,24.64,20.84,14.93,999.9,999.9,5.06,14.99,23.91,15.02,14.74
1904,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1905,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1906,999.9,999.9,999.9,999.9,999.9,999.9,999.9,25.95,23.59,15.29,8.98,6.47,999.9,999.9,999.9,15.95,999.9
1907,9.17,1.84,11.49,10.15,17.04,19.67,25.36,23.88,21.87,13.41,8.53,5.45,5.83,12.89,22.97,14.6,14.07
1908,3.78,2.89,11.91,14.89,19.04,21.88,25.78,23.64,999.9,17,9.68,5.86,4.04,15.28,23.77,16.23,14.83
1909,6.38,8.35,7.77,14.07,18.27,24.06,999.9,23.12,20.09,13.53,11.25,2.24,6.86,13.37,24.11,14.96,14.82
1910,4.39,4.3,12.18,14.54,17.81,21.51,26.1,24.04,22.85,16.6,5.87,1.48,3.64,14.84,23.88,15.11,14.37
1911,7.13,6.28,7.5,11.15,20.46,23.52,26.44,25.42,24.46,17.94,9.53,6.48,4.96,13.04,25.13,17.31,15.11
1912,0.2,1.45,999.9,16.01,19.75,23.13,25.59,24.82,23.21,999.9,999.9,999.9,2.71,15.42,24.51,999.9,14.57
1913,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,10.09,5.69,999.9,999.9,999.9,999.9,999.9
1914,6.22,2.38,5.96,13.58,999.9,999.9,999.9,24.86,19.5,17.37,8.36,2.07,4.76,12.22,999.9,15.08,13.95
